LearneCN — vocabulary filter report

Generated by tools/filter-vocabulary.py. Every line is a change that
tool made to the shipped data. "trigger" is the word that caused it;
the offending definitions themselves are not repeated here.

Official HSK 1-6 vocabulary is never deleted. The most that happens to
an HSK word is that one sense is dropped from its gloss.

779 headwords are gone from the data entirely.
967 practice questions were about one of them and went with it.
1810 more had an obscene wrong answer swapped for a clean one and were kept.

------------------------------------------------------------------------------
file          word       reading          action                           category   trigger
cedict.json   交配         jiao1 pei4       sense dropped                    sexual     copulation
cedict.json   交际花        jiao1 ji4 hua1   sense dropped                    sexual     courtesan
cedict.json   亵          xie4             sense dropped                    sexual     obscene
cedict.json   人势         ren2 shi4        removed                          sexual     penis
cedict.json   人尽可夫       ren2 jin4 ke3 f  removed                          sexual     review
cedict.json   人道         ren2 dao4        sense dropped                    sexual     sexual intercourse
cedict.json   从良         cong2 liang2     sense dropped                    sexual     prostitute
cedict.json   低能儿        di1 neng2 er2    removed                          sexual     review
cedict.json   作爱         zuo4 ai4         removed                          sexual     make love
cedict.json   侍妾         shi4 qie4        removed                          sexual     concubine
cedict.json   侧室         ce4 shi4         sense dropped                    sexual     concubine
cedict.json   保险套        bao3 xian3 tao4  removed                          sexual     condom
cedict.json   偏房         pian1 fang2      sense dropped                    sexual     concubine
cedict.json   做小         zuo4 xiao3       removed                          sexual     concubine
cedict.json   做爱         zuo4 ai4         removed                          sexual     make love
cedict.json   做鸡         zuo4 ji1         removed                          sexual     prostitute
cedict.json   做鸭         zuo4 ya1         removed                          sexual     prostitute
cedict.json   偷香窃玉       tou1 xiang1 qie  sense dropped                    sexual     illicit sex
cedict.json   傍柳随花       bang4 liu3 sui2  removed                          sexual     prostitute
cedict.json   六宫         liu4 gong1       removed                          sexual     concubines
cedict.json   兴奋高潮       xing1 fen4 gao1  sense dropped                    sexual     orgasm
cedict.json   养汉         yang3 han4       removed                          sexual     adultery
cedict.json   兽交         shou4 jiao1      removed                          sexual     bestiality
cedict.json   兽奸         shou4 jian1      removed                          sexual     bestiality
cedict.json   兽行         shou4 xing2      removed                          sexual     review
cedict.json   内射         nei4 she4        removed                          sexual     ejaculate
cedict.json   写真集        xie3 zhen1 ji2   removed                          sexual     sexy
cedict.json   军妓         jun1 ji4         removed                          sexual     prostitute
cedict.json   冶          ye3              sense dropped                    sexual     seductive
cedict.json   冶容         ye3 rong2        sense dropped                    sexual     seductive
cedict.json   冶游         ye3 you2         sense dropped                    sexual     brothel
cedict.json   冶荡         ye3 dang4        removed                          sexual     lewd
cedict.json   冷宫         leng3 gong1      sense dropped                    sexual     concubine
cedict.json   出钟         chu1 zhong1      sense dropped                    sexual     prostitute
cedict.json   切尼         Qie1 ni2         sense dropped                    sexual     dick
